Affected Legal Good,Month,Value,City
Patrimonio,2015-01,189,Apodaca
Patrimonio,2015-02,238,Apodaca
Patrimonio,2015-03,203,Apodaca
Patrimonio,2015-04,196,Apodaca
Patrimonio,2015-05,212,Apodaca
Patrimonio,2015-06,190,Apodaca
Patrimonio,2015-07,197,Apodaca
Patrimonio,2015-08,205,Apodaca
Patrimonio,2015-09,208,Apodaca
Patrimonio,2015-10,230,Apodaca
Patrimonio,2015-11,204,Apodaca
Patrimonio,2015-12,168,Apodaca
Patrimonio,2016-01,204,Apodaca
Patrimonio,2016-02,189,Apodaca
Patrimonio,2016-03,189,Apodaca
Patrimonio,2016-04,194,Apodaca
Patrimonio,2016-05,208,Apodaca
Patrimonio,2016-06,236,Apodaca
Patrimonio,2016-07,219,Apodaca
Patrimonio,2016-08,256,Apodaca
Patrimonio,2016-09,212,Apodaca
Patrimonio,2016-10,232,Apodaca
Patrimonio,2016-11,171,Apodaca
Patrimonio,2016-12,290,Apodaca
Patrimonio,2017-01,270,Apodaca
Patrimonio,2017-02,284,Apodaca
Patrimonio,2017-03,272,Apodaca
Patrimonio,2017-04,289,Apodaca
Patrimonio,2017-05,254,Apodaca
Patrimonio,2017-06,214,Apodaca
Patrimonio,2017-07,249,Apodaca
Patrimonio,2017-08,301,Apodaca
Patrimonio,2017-09,269,Apodaca
Patrimonio,2017-10,281,Apodaca
Patrimonio,2017-11,307,Apodaca
Patrimonio,2017-12,218,Apodaca
Patrimonio,2018-01,256,Apodaca
Patrimonio,2018-02,305,Apodaca
Patrimonio,2018-03,229,Apodaca
Patrimonio,2018-04,224,Apodaca
Patrimonio,2018-05,254,Apodaca
Patrimonio,2018-06,273,Apodaca
Patrimonio,2018-07,249,Apodaca
Patrimonio,2018-08,248,Apodaca
Patrimonio,2018-09,222,Apodaca
Patrimonio,2018-10,212,Apodaca
Patrimonio,2018-11,188,Apodaca
Patrimonio,2018-12,245,Apodaca
Patrimonio,2019-01,133,Apodaca
Patrimonio,2019-02,212,Apodaca
Patrimonio,2019-03,197,Apodaca
Patrimonio,2019-04,201,Apodaca
Patrimonio,2019-05,223,Apodaca
Patrimonio,2019-06,274,Apodaca
Patrimonio,2019-07,212,Apodaca
Patrimonio,2019-08,205,Apodaca
Patrimonio,2019-09,155,Apodaca
Patrimonio,2019-10,211,Apodaca
Patrimonio,2019-11,184,Apodaca
Patrimonio,2019-12,203,Apodaca
Patrimonio,2020-01,238,Apodaca
Patrimonio,2020-02,358,Apodaca
Patrimonio,2020-03,209,Apodaca
Patrimonio,2020-04,167,Apodaca
Patrimonio,2020-05,150,Apodaca
Patrimonio,2020-06,260,Apodaca
Patrimonio,2020-07,259,Apodaca
Patrimonio,2020-08,253,Apodaca
Patrimonio,2020-09,279,Apodaca
Patrimonio,2020-10,295,Apodaca
Patrimonio,2020-11,239,Apodaca
Patrimonio,2020-12,228,Apodaca
Patrimonio,2021-01,196,Apodaca
Patrimonio,2021-02,217,Apodaca
Patrimonio,2021-03,220,Apodaca
Patrimonio,2021-04,304,Apodaca
Patrimonio,2021-05,204,Apodaca
Patrimonio,2021-06,239,Apodaca
Patrimonio,2021-07,178,Apodaca
Patrimonio,2021-08,238,Apodaca
Patrimonio,2021-09,159,Apodaca
Patrimonio,2021-10,227,Apodaca
Patrimonio,2021-11,304,Apodaca
Patrimonio,2021-12,367,Apodaca
Patrimonio,2022-01,346,Apodaca
Patrimonio,2022-02,213,Apodaca
Patrimonio,2022-03,235,Apodaca
Patrimonio,2022-04,219,Apodaca
Patrimonio,2022-05,218,Apodaca
Patrimonio,2022-06,215,Apodaca
Patrimonio,2022-07,201,Apodaca
Patrimonio,2022-08,261,Apodaca
Patrimonio,2022-09,299,Apodaca
Patrimonio,2022-10,242,Apodaca
Patrimonio,2022-11,259,Apodaca
Patrimonio,2022-12,242,Apodaca
Familia,2015-01,143,Apodaca
Familia,2015-02,188,Apodaca
Familia,2015-03,173,Apodaca
Familia,2015-04,177,Apodaca
Familia,2015-05,264,Apodaca
Familia,2015-06,230,Apodaca
Familia,2015-07,223,Apodaca
Familia,2015-08,235,Apodaca
Familia,2015-09,265,Apodaca
Familia,2015-10,198,Apodaca
Familia,2015-11,168,Apodaca
Familia,2015-12,139,Apodaca
Familia,2016-01,172,Apodaca
Familia,2016-02,183,Apodaca
Familia,2016-03,153,Apodaca
Familia,2016-04,200,Apodaca
Familia,2016-05,209,Apodaca
Familia,2016-06,299,Apodaca
Familia,2016-07,267,Apodaca
Familia,2016-08,235,Apodaca
Familia,2016-09,210,Apodaca
Familia,2016-10,226,Apodaca
Familia,2016-11,181,Apodaca
Familia,2016-12,153,Apodaca
Familia,2017-01,147,Apodaca
Familia,2017-02,204,Apodaca
Familia,2017-03,214,Apodaca
Familia,2017-04,166,Apodaca
Familia,2017-05,199,Apodaca
Familia,2017-06,232,Apodaca
Familia,2017-07,176,Apodaca
Familia,2017-08,198,Apodaca
Familia,2017-09,197,Apodaca
Familia,2017-10,169,Apodaca
Familia,2017-11,211,Apodaca
Familia,2017-12,102,Apodaca
Familia,2018-01,159,Apodaca
Familia,2018-02,131,Apodaca
Familia,2018-03,147,Apodaca
Familia,2018-04,193,Apodaca
Familia,2018-05,222,Apodaca
Familia,2018-06,210,Apodaca
Familia,2018-07,292,Apodaca
Familia,2018-08,197,Apodaca
Familia,2018-09,229,Apodaca
Familia,2018-10,187,Apodaca
Familia,2018-11,180,Apodaca
Familia,2018-12,156,Apodaca
Familia,2019-01,127,Apodaca
Familia,2019-02,135,Apodaca
Familia,2019-03,167,Apodaca
Familia,2019-04,144,Apodaca
Familia,2019-05,222,Apodaca
Familia,2019-06,160,Apodaca
Familia,2019-07,168,Apodaca
Familia,2019-08,174,Apodaca
Familia,2019-09,162,Apodaca
Familia,2019-10,218,Apodaca
Familia,2019-11,158,Apodaca
Familia,2019-12,214,Apodaca
Familia,2020-01,205,Apodaca
Familia,2020-02,153,Apodaca
Familia,2020-03,196,Apodaca
Familia,2020-04,235,Apodaca
Familia,2020-05,220,Apodaca
Familia,2020-06,193,Apodaca
Familia,2020-07,220,Apodaca
Familia,2020-08,260,Apodaca
Familia,2020-09,216,Apodaca
Familia,2020-10,195,Apodaca
Familia,2020-11,171,Apodaca
Familia,2020-12,201,Apodaca
Familia,2021-01,170,Apodaca
Familia,2021-02,191,Apodaca
Familia,2021-03,227,Apodaca
Familia,2021-04,258,Apodaca
Familia,2021-05,257,Apodaca
Familia,2021-06,294,Apodaca
Familia,2021-07,247,Apodaca
Familia,2021-08,235,Apodaca
Familia,2021-09,246,Apodaca
Familia,2021-10,221,Apodaca
Familia,2021-11,231,Apodaca
Familia,2021-12,224,Apodaca
Familia,2022-01,169,Apodaca
Familia,2022-02,145,Apodaca
Familia,2022-03,228,Apodaca
Familia,2022-04,234,Apodaca
Familia,2022-05,284,Apodaca
Familia,2022-06,305,Apodaca
Familia,2022-07,243,Apodaca
Familia,2022-08,323,Apodaca
Familia,2022-09,246,Apodaca
Familia,2022-10,231,Apodaca
Familia,2022-11,193,Apodaca
Familia,2022-12,180,Apodaca
Libertad y Seguridad Sexual,2015-01,10,Apodaca
Libertad y Seguridad Sexual,2015-02,15,Apodaca
Libertad y Seguridad Sexual,2015-03,26,Apodaca
Libertad y Seguridad Sexual,2015-04,17,Apodaca
Libertad y Seguridad Sexual,2015-05,19,Apodaca
Libertad y Seguridad Sexual,2015-06,23,Apodaca
Libertad y Seguridad Sexual,2015-07,16,Apodaca
Libertad y Seguridad Sexual,2015-08,20,Apodaca
Libertad y Seguridad Sexual,2015-09,16,Apodaca
Libertad y Seguridad Sexual,2015-10,11,Apodaca
Libertad y Seguridad Sexual,2015-11,12,Apodaca
Libertad y Seguridad Sexual,2015-12,11,Apodaca
Libertad y Seguridad Sexual,2016-01,20,Apodaca
Libertad y Seguridad Sexual,2016-02,17,Apodaca
Libertad y Seguridad Sexual,2016-03,20,Apodaca
Libertad y Seguridad Sexual,2016-04,18,Apodaca
Libertad y Seguridad Sexual,2016-05,17,Apodaca
Libertad y Seguridad Sexual,2016-06,29,Apodaca
Libertad y Seguridad Sexual,2016-07,20,Apodaca
Libertad y Seguridad Sexual,2016-08,24,Apodaca
Libertad y Seguridad Sexual,2016-09,26,Apodaca
Libertad y Seguridad Sexual,2016-10,14,Apodaca
Libertad y Seguridad Sexual,2016-11,16,Apodaca
